feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.12327677624602333,0.15031813361611876,0.02704135737009543
3,0.012990455991516436,0.02730646871686108,0.014316012725344645
4,0.011399787910922587,0.029427359490986214,0.018027571580063628
5,0.038441145281018024,0.04692470837751856,0.008483563096500536
6,0.014050901378579003,0.03419936373276776,0.020148462354188757
7,0.014316012725344645,0.024655355249204668,0.010339342523860023
8,0.015111346765641569,0.028366914103923647,0.013255567338282079
9,0.06203605514316013,0.06203605514316013,0.0
10,0.061505832449628844,0.08218451749734888,0.02067868504772004
11,0.00503711558854719,0.015906680805938492,0.010869565217391302
12,0.008748674443266172,0.02332979851537646,0.014581124072110287
13,0.02518557794273595,0.03632025450689289,0.011134676564156943
14,0.0002651113467656416,0.006097560975609756,0.005832449628844115
15,0.049310710498409335,0.06097560975609756,0.011664899257688224
16,0.11161187698833511,0.42629904559915166,0.3146871686108166
17,0.09066808059384941,0.1283138918345705,0.0376458112407211
18,0.056733828207847295,0.17895015906680806,0.12221633085896076
19,0.05514316012725345,0.08589607635206786,0.030752916224814415
20,0.06813361611876988,0.2142099681866384,0.1460763520678685
