feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0.73,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.13043478260869565,0.12819444444444444,0.0022403381642512044
0.1,0.015418808167801083,0.021527777777777778,0.006108969609976695
0.2,0.012779552715654952,0.03,0.017220447284345047
0.3,0.038338658146964855,0.05291666666666667,0.014578008519701813
0.4,0.01083483817196833,0.020694444444444446,0.009859606272476116
0.5,0.014029726350882068,0.01875,0.004720273649117932
1.1,0.0166689818030282,0.022222222222222223,0.005553240419194024
0.6,0.06556466175857759,0.042083333333333334,0.023481328425244252
0.7,0.06875954993749132,0.06444444444444444,0.004315105493046881
0.8,0.01264064453396305,0.016527777777777777,0.0038871332438147263
0.9,0.008195582719822198,0.010138888888888888,0.00194330616906669
0.10,0.025559105431309903,0.035138888888888886,0.009579783457578983
0.11,0.00013890818169190166,0.0,0.00013890818169190166
0.12,0.04889567995554938,0.06125,0.012354320044450619
0.0006,0.10557021808584525,0.09652777777777778,0.009042440308067473
0.015,0.11418252535074316,0.1461111111111111,0.031928585760367945
0.12.1,0.05403528267814974,0.06111111111111111,0.007075828432961367
0.082,0.06875954993749132,0.06652777777777778,0.002231772159713541
0.146,0.06236977357966384,0.0648611111111111,0.0024913375314472644
