feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0.73,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.13043478260869565,0.16972222222222222,0.03928743961352657
0.1,0.015418808167801083,0.03388888888888889,0.018470080721087807
0.2,0.012779552715654952,0.021111111111111112,0.00833155839545616
0.3,0.038338658146964855,0.06583333333333333,0.027494675186368472
0.4,0.01083483817196833,0.05236111111111111,0.04152627293914278
0.5,0.014029726350882068,0.043333333333333335,0.02930360698245127
1.1,0.0166689818030282,0.04972222222222222,0.033053240419194024
0.6,0.06556466175857759,0.09638888888888889,0.0308242271303113
0.7,0.06875954993749132,0.11166666666666666,0.04290711672917534
0.8,0.01264064453396305,0.04527777777777778,0.03263713324381473
0.9,0.008195582719822198,0.013888888888888888,0.00569330616906669
0.10,0.025559105431309903,0.049444444444444444,0.02388533901313454
0.11,0.00013890818169190166,0.0,0.00013890818169190166
0.12,0.04889567995554938,0.08305555555555555,0.03415987560000617
0.0006,0.10557021808584525,0.12694444444444444,0.021374226358599188
0.015,0.11418252535074316,0.14152777777777778,0.027345252427034616
0.12.1,0.05403528267814974,0.06013888888888889,0.006103606210739146
0.082,0.06875954993749132,0.06347222222222222,0.005287327715269102
0.146,0.06236977357966384,0.08875,0.026380226420336154
