feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
HighBP,0.0,0.0,0.0
HighChol,0.0,0.0,0.0
CholCheck,0.037330495111952064,0.059653894670450965,0.0223233995584989
BMI,0.03881661936297698,0.06716729738252918,0.028350678019552197
Smoker,0.0,0.0,0.0
Stroke,0.04057079785556607,0.06355250709555345,0.02298170923998738
Diabetes,0.15758830022075054,0.17865421002838222,0.021065909807631678
PhysActivity,0.2434563229265216,0.2840152948596657,0.04055897193314409
Fruits,0.0,0.0,0.0
Veggies,0.188580100914538,0.1940357931251971,0.0054556922106590855
HvyAlcoholConsump,0.05619678334910123,0.0805502995900347,0.024353516240933466
AnyHealthcare,0.04894749290444655,0.08978634500157678,0.040838852097130236
NoDocbcCost,0.08417691579943236,0.16221617786187323,0.07803926206244087
GenHlth,0.04762298959318827,0.08193393251340271,0.03431094292021444
MentHlth,0.14273099968464206,0.22444812362030905,0.08171712393566699
PhysHlth,0.161419899085462,0.27724298328602964,0.11582308420056764
DiffWalk,0.16822374645222327,0.23740933459476507,0.0691855881425418
Sex,0.0,0.0,0.0
Age,0.0,0.0,0.0
Education,0.0,0.0,0.0
Income,0.0,0.0,0.0
