feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
age,0.0,0.0,0.0
symptom_1,0.0,0.0,0.0
symptom_2,0.13055555555555556,0.14666666666666667,0.016111111111111104
symptom_3,0.015416666666666667,0.03305555555555555,0.017638888888888885
symptom_4,0.012777777777777779,0.04597222222222222,0.03319444444444444
symptom_5,0.03833333333333333,0.04625,0.007916666666666669
symptom_6,0.010833333333333334,0.04986111111111111,0.03902777777777778
symptom_7,0.014027777777777778,0.04388888888888889,0.02986111111111111
symptom_8,0.016805555555555556,0.04666666666666667,0.029861111111111113
symptom_9,0.06555555555555556,0.09,0.024444444444444435
symptom_10,0.06875,0.11097222222222222,0.04222222222222222
symptom_11,0.012638888888888889,0.044444444444444446,0.03180555555555556
symptom_12,0.008194444444444445,0.041527777777777775,0.033333333333333326
symptom_13,0.025555555555555557,0.044583333333333336,0.01902777777777778
symptom_14,0.0001388888888888889,0.0,0.0001388888888888889
symptom_15,0.04888888888888889,0.08513888888888889,0.03625
TSH,0.10555555555555556,0.1673611111111111,0.061805555555555544
T3,0.11416666666666667,0.1284722222222222,0.014305555555555544
T4,0.05402777777777778,0.06472222222222222,0.010694444444444444
T3_uptake,0.06875,0.06180555555555556,0.0069444444444444475
FTI,0.06236111111111111,0.08791666666666667,0.02555555555555556
