feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
54,0.0,0.0,0.0
0,0.0,0.0,0.0
172,0.07462686567164178,0.04918032786885246,0.025446537802789326
95,0.1044776119402985,0.26229508196721313,0.15781747002691462
138,0.11940298507462686,0.13114754098360656,0.0117445559089797
163,0.07462686567164178,0.16393442622950818,0.0893075605578664
386,0.07462686567164178,0.16393442622950818,0.0893075605578664
185,0.0,0.0,0.0
102,0.05970149253731343,0.18032786885245902,0.12062637631514558
96,0.014925373134328358,0.04918032786885246,0.0342549547345241
34,0.07462686567164178,0.11475409836065574,0.040127232689013956
70,0.04477611940298507,0.2459016393442623,0.20112551994127723
66,0.014925373134328358,0.04918032786885246,0.0342549547345241
23,0.0,0.0,0.0
75,0.014925373134328358,0.03278688524590164,0.01786151211157328
0.1,0.0,0.0,0.0
40,0.14925373134328357,0.14754098360655737,0.0017127477367261945
80,0.014925373134328358,0.09836065573770492,0.08343528260337656
0.10,0.014925373134328358,0.0,0.014925373134328358
0.11,0.0,0.0,0.0
24,0.029850746268656716,0.09836065573770492,0.0685099094690482
0.12,0.0,0.0,0.0
0.13,0.04477611940298507,0.01639344262295082,0.02838267678003425
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.014925373134328358,0.01639344262295082,0.0014680694886224626
0.17,0.04477611940298507,0.01639344262295082,0.02838267678003425
20,0.0,0.0,0.0
56,0.1044776119402985,0.21311475409836064,0.10863714215806214
52,0.0,0.0,0.0
0.18,0.014925373134328358,0.0,0.014925373134328358
0.19,0.0,0.0,0.0
40.1,0.0,0.0,0.0
0.20,0.014925373134328358,0.0,0.014925373134328358
0.21,0.04477611940298507,0.03278688524590164,0.011989234157083431
0.22,0.014925373134328358,0.0,0.014925373134328358
0.23,0.029850746268656716,0.01639344262295082,0.013457303645705895
0.24,0.0,0.0,0.0
0.25,0.04477611940298507,0.03278688524590164,0.011989234157083431
28,0.014925373134328358,0.03278688524590164,0.01786151211157328
116,0.0,0.13114754098360656,0.13114754098360656
0.26,0.0,0.0,0.0
0.27,0.07462686567164178,0.03278688524590164,0.04183998042574014
0.28,0.0,0.0,0.0
52.1,0.0,0.0,0.0
0.29,0.014925373134328358,0.01639344262295082,0.0014680694886224626
0.30,0.05970149253731343,0.09836065573770492,0.038659163200391485
0.31,0.0,0.0,0.0
0.32,0.014925373134328358,0.0,0.014925373134328358
0.33,0.014925373134328358,0.0,0.014925373134328358
0.34,0.0,0.0,0.0
52.2,0.04477611940298507,0.03278688524590164,0.011989234157083431
64,0.0,0.0,0.0
0.35,0.22388059701492538,0.13114754098360656,0.09273305603131882
0.36,0.08955223880597014,0.01639344262295082,0.07315879618301932
0.37,0.0,0.0,0.0
88,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.39,0.029850746268656716,0.01639344262295082,0.013457303645705895
0.40,0.014925373134328358,0.0,0.014925373134328358
0.41,0.0,0.0,0.0
0.42,0.014925373134328358,0.0,0.014925373134328358
0.43,0.04477611940298507,0.03278688524590164,0.011989234157083431
0.44,0.029850746268656716,0.03278688524590164,0.002936138977244925
36,0.08955223880597014,0.06557377049180328,0.023978468314166862
92,0.0,0.0,0.0
0.45,0.014925373134328358,0.0,0.014925373134328358
0.46,0.0,0.0,0.0
24.1,0.04477611940298507,0.09836065573770492,0.053584536334719844
0.47,0.0,0.0,0.0
0.48,0.029850746268656716,0.0,0.029850746268656716
0.49,0.0,0.0,0.0
0.50,0.0,0.0,0.0
0.51,0.014925373134328358,0.0,0.014925373134328358
0.52,0.0,0.0,0.0
0.53,0.05970149253731343,0.06557377049180328,0.00587227795448985
128,0.0,0.11475409836065574,0.11475409836065574
0.54,0.0,0.0,0.0
0.55,0.08955223880597014,0.0,0.08955223880597014
0.56,0.029850746268656716,0.0,0.029850746268656716
24.2,0.0,0.0,0.0
0.57,0.029850746268656716,0.0,0.029850746268656716
1,0.029850746268656716,0.04918032786885246,0.019329581600195742
0.58,0.0,0.0,0.0
0.59,0.0,0.0,0.0
0.60,0.0,0.0,0.0
0.61,0.014925373134328358,0.01639344262295082,0.0014680694886224626
0.62,0.19402985074626866,0.14754098360655737,0.04648886713971129
24.3,0.1791044776119403,0.3770491803278688,0.19794470271592854
36.1,0.22388059701492538,0.32786885245901637,0.10398825544409099
76,0.11940298507462686,0.04918032786885246,0.0702226572057744
0.63,0.029850746268656716,0.0,0.029850746268656716
100,0.08955223880597014,0.11475409836065574,0.025201859554685596
0.64,0.014925373134328358,0.01639344262295082,0.0014680694886224626
0.65,0.014925373134328358,0.0,0.014925373134328358
0.66,0.014925373134328358,0.0,0.014925373134328358
0.67,0.014925373134328358,0.0,0.014925373134328358
0.68,0.029850746268656716,0.03278688524590164,0.002936138977244925
0.69,0.029850746268656716,0.01639344262295082,0.013457303645705895
0.70,0.14925373134328357,0.08196721311475409,0.06728651822852948
40.2,0.13432835820895522,0.19672131147540983,0.06239295326645461
28.1,0.208955223880597,0.3114754098360656,0.10252018595546858
60,0.029850746268656716,0.0,0.029850746268656716
0.71,0.0,0.0,0.0
96.1,0.07462686567164178,0.13114754098360656,0.05652067531196478
0.72,0.04477611940298507,0.01639344262295082,0.02838267678003425
0.73,0.029850746268656716,0.01639344262295082,0.013457303645705895
0.74,0.029850746268656716,0.01639344262295082,0.013457303645705895
0.75,0.014925373134328358,0.03278688524590164,0.01786151211157328
0.76,0.029850746268656716,0.0,0.029850746268656716
