feature,real_outlier_rate,synthetic_outlier_rate,abs_rate_diff
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.03733034795668576,0.03441781421913872,0.002912533737547039
3,0.0388164663494704,0.03664283962297207,0.0021736267264983247
4,0.0,0.0,0.0
5,0.04057063792716049,0.03994971792985038,0.000620919997310107
6,0.157587679014195,0.16071428571428573,0.0031266067000907394
7,0.24345536323177533,0.2380908581239707,0.005364505107804618
8,0.0,0.0,0.0
9,0.18857935753958713,0.16186621815760888,0.02671313938197825
10,0.056196561823707726,0.0546270016468692,0.0015695601768385276
11,0.04894729995545587,0.04168856652300361,0.007258733432452258
12,0.08417658397751507,0.08476996390903675,0.0005933799315216842
13,0.04762280186533481,0.04656347454360699,0.0010593273217278168
14,0.14273043704495014,0.146229720733032,0.003499283688081861
15,0.16141926277490234,0.17652160201829076,0.015102339243388413
16,0.16822308332117897,0.1701575037667753,0.0019344204455963299
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
