feature,ks_statistic,p_value
0.73,0.04779103836438189,3.272449555968967e-07
0,0.014841653247450348,0.43467994782069835
1,0.005743424584004294,0.9998373203486486
0.1,0.0009126353282949106,1.0
0.2,0.0047548613576302605,0.9999984670562062
0.3,0.003770756912396955,0.9999999997671157
0.4,0.0028101468139436377,1.0
0.5,0.005696393017548733,0.9998624141570884
1.1,0.0069467595808059765,0.9960990872107618
0.6,0.01078071114129363,0.8172596508227173
0.7,0.008728685739960454,0.95462154280765
0.8,0.00631348404013589,0.999075000498113
0.9,0.003720274077846889,0.9999999998781356
0.10,0.004224845185974047,0.9999999710552483
0.11,0.00013890818169190166,1.0
0.13,0.022969754029623455,0.053604658581827405
0.0006,0.051586790174904265,2.4841667539179555e-08
0.015,0.04207593132791077,1.0948777655123572e-05
0.12,0.050851412833401076,4.1570894437217676e-08
0.082,0.02375220581047779,0.041745276356213674
0.146,0.03474944651091801,0.0005130939290106104
