,Acc,AUC,F1_Score
lr,1.25,0.27558525145305013,0.15273529896358307
dt,6.736111111111114,0.37392291998233207,0.4938342156480633
rf,7.1527777777777715,0.39870014232530093,0.5047795498040841
mlp,3.2638888888889,0.3760928549894482,0.3253206996331114
svm,1.25,0.43748553960920145,0.1471407341862122
