feature,ks_statistic,p_value
0.73,0.01525636276643361,0.40001843757075406
0,0.007997852925389157,0.9796085867541777
1,0.007065217391304348,0.9951093664735767
0.1,1.3290597631015281e-05,1.0
0.2,0.0016684416045438409,1.0
0.3,0.002536189011162387,1.0
0.4,0.0014212579250547487,1.0
0.5,0.002147010301499351,1.0
1.1,0.0040146608153738775,0.9999999962012129
0.6,0.006614044474626963,0.9980678508431476
0.7,0.0019385622831703305,1.0
0.8,0.00014064453396305041,1.0
0.9,0.0012179975270913827,1.0
0.10,0.004070524198319725,0.9999999932688685
0.11,1.5412805962419336e-05,1.0
0.13,0.004296914523450617,0.9999999458287427
0.0006,0.018809089568338537,0.1759852033954963
0.015,0.0181490184679285,0.20787538624641655
0.12,0.014706646499256584,0.4463127587994963
0.082,0.012010970316522013,0.7025250852420061
0.146,0.019556857176665485,0.14465466435069504
